A778989,A778989,A778989,A778989,A778989,A778989,A778989,A778989
PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16
Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F
68.4,67,67.4,67,67.7,67.1,66.5,67.9
68.4,67,67.4,67,67.7,67.1,66.5,67.9
68.3,67,67.4,66.9,67.7,67.1,66.5,68
70.8,68.2,69.1,68.1,69.6,69.5,68.1,0
72,69,70.2,68.8,70.9,70.8,69.2,0
72.8,69.7,71,69.5,72,72,70,0
73.6,70.4,71.7,70.2,73.2,73.2,70.9,0
74.4,71.1,72.5,71,74.2,74.3,71.7,0
75.1,71.9,73.2,71.6,75.4,75.6,72.4,0
75.8,72.6,74,72.4,76.4,76.6,73.3,0
76.4,73.4,74.6,73.1,77.6,77.7,73.9,0
77,74.1,75.3,73.8,78.7,78.8,74.6,0
77.8,74.7,76,74.5,79.8,79.9,75.5,0
78.4,75.5,76.8,75.2,80.7,80.6,76.2,0
79.1,76.2,77.5,75.9,81.8,81.8,77,0
79.8,76.9,78.1,76.7,82.6,82.6,77.7,0
80.5,77.6,78.8,77.4,83.4,83.3,78.4,0
81.1,78.3,79.5,78.1,84.3,84.3,79.1,0
81.2,78.3,79.6,78.1,84.3,84.2,79.1,0
81.7,79,80.2,78.8,85,85.1,79.8,0
82.4,79.6,80.9,79.4,86,85.8,80.3,0
83,80.4,81.4,80.1,86.6,86.3,81,0
83.7,81,82.1,80.8,87.4,87.1,81.8,0
84.2,81.7,82.8,81.5,88,87.8,82.4,84.1
84.3,81.8,82.8,81.5,88.1,87.8,82.3,84.1
82.9,82.4,83.4,82.2,88.8,88.6,83,84.8
84.8,83.2,84.1,83,89.3,89.2,83.8,85
84.4,83.8,84.7,83.6,89.9,89.8,84.4,85.9
85.7,84.5,85.3,84.3,90.5,90.1,85.2,86.6
85.9,85.2,85.9,85,91.1,90.7,85.8,87.3
86.5,86.1,86.9,85.8,92.3,92.1,87.1,88.5
89.5,87.6,88.6,87.2,94.3,94.2,88.8,90.4
89.4,87.5,88.7,87.3,94.4,94.5,88.9,90.5
91.2,89.3,90.7,89,96.9,96.9,91,92.7
93.8,91.5,93.1,91.3,100,100.2,93.7,95.4
96,93.8,95.5,93.4,103.3,103.7,96.3,98.2
