A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919
PTC4,PTC5,PTC6,PTC13,PTC14,PTC15,PTC25,PTC26,PTC27,PTC28,PTC29,PTC30,PTC4,PTC5,PTC6,PTC13,PTC14,PTC15,PTC25,PTC26,PTC27,PTC28,PTC29,PTC30
Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F
90.3,90.5,91.2,89.3,88.5,88.6,92,91.2,90.4,90.1,89.7,89.4,90.3,90.5,91.2,89.3,88.5,88.6,92,91.2,90.4,90.1,89.7,89.4
90.3,90.5,91.2,89.3,88.5,88.6,92,91.2,90.4,90.1,89.7,89.4,90.3,90.5,91.2,89.3,88.5,88.6,92,91.2,90.4,90.1,89.7,89.4
90.2,90.6,91.2,89.2,88.4,88.5,91.9,91.2,90.6,90.1,89.8,89.4,90.2,90.6,91.2,89.2,88.4,88.5,91.9,91.2,90.6,90.1,89.8,89.4
90.2,90.6,91.2,89.2,88.4,88.5,91.9,91.2,90.6,90.1,89.8,89.4,90.2,90.6,91.2,89.2,88.4,88.5,91.9,91.2,90.6,90.1,89.8,89.4
91.4,92.3,92.2,90.5,89.7,89.6,93,92,91.3,90.7,90.5,90.4,91.4,92.3,92.2,90.5,89.7,89.6,93,92,91.3,90.7,90.5,90.4
93.2,93.6,93.4,91.8,91.3,90.9,94.2,93,92.5,91.3,91.4,91.3,93.2,93.6,93.4,91.8,91.3,90.9,94.2,93,92.5,91.3,91.4,91.3
95.1,95.8,95.2,93.4,93.2,92.1,96,94.3,94,92.1,92.5,92.5,95.1,95.8,95.2,93.4,93.2,92.1,96,94.3,94,92.1,92.5,92.5
97.3,98.6,97.2,95.4,95,93.7,97.7,95.9,95.5,93.1,93.6,93.8,97.3,98.6,97.2,95.4,95,93.7,97.7,95.9,95.5,93.1,93.6,93.8
99.6,100.3,99.3,97.1,97,95.3,99.6,97.6,97.3,94.1,94.9,95.2,99.6,100.3,99.3,97.1,97,95.3,99.6,97.6,97.3,94.1,94.9,95.2
102,102.8,101.7,99.1,99.2,97,101.5,99.4,99.1,95.4,96.3,96.8,102,102.8,101.7,99.1,99.2,97,101.5,99.4,99.1,95.4,96.3,96.8
