A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919,A369919
PTC13,PTC14,PTC15,PTC25,PTC26,PTC27,PTC28,PTC29,PTC30
Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F,Deg.F
79.2,78.4,78,81.3,81.5,80.6,80.2,80.1,79.2
79.2,78.4,78,81.3,81.5,80.6,80.2,80.1,79.2
79.2,78.4,78,81.3,81.5,80.6,80.2,80.1,79.2
79.2,78.4,78,81.3,81.5,80.6,80.2,80.1,79.2
79.9,79.9,79.5,81.4,82,81.1,80.6,80.7,80
81.6,82.1,82.2,82.2,83.6,82.7,81.7,82,81.6
83.7,84.7,85,83.6,85.8,85,83.2,83.8,83.7
86,87.8,88.6,85.4,88.6,87.6,85.2,85.9,86
88.8,91.4,92.6,87.9,91.8,90.8,87.6,88.4,88.9
92.1,95.3,97.1,90.6,95.5,94.4,90.4,91.4,92.1
96,99.5,101.3,93.7,99.5,98.3,93.5,94.6,95.5
100.1,104.4,106.7,97.2,104,102.8,97.1,98.1,99.3
104.6,109.2,111.4,100.8,108.7,107.4,101,101.9,103.4
109.6,114.8,117.6,105,114.2,112.4,105.4,106.2,107.7
112.6,117.6,120.8,108,117.5,115.5,108.1,108.7,110.3
114.1,119,122.9,109.3,119,117.2,109.6,110.1,111.7
118.9,123.9,127.3,113.4,123.7,121.9,113.6,114.1,115.9
123.7,128.6,132.6,117.7,128.7,126.7,118.2,118.1,120.3
128.7,133.5,137.8,122,133.8,131.8,122.7,122.5,124.9
133.3,138.9,143,126.5,138.8,136.8,127.3,127.1,129.4
138.8,144,148.3,131.2,143.9,141.9,132.1,131.8,134.3
144,149.7,153.8,135.8,149.3,147.2,136.8,136.5,139.1
149.1,154.8,159.5,140.5,154.5,152.3,141.8,141.3,144.1
154.4,160.3,164.6,145.3,159.7,157.4,146.6,146.2,149.2
159.8,165.5,169.7,150.1,164.9,162.5,151.6,151.2,154
159.8,165.6,170.1,150.2,165.1,162.6,151.7,151.2,154.1
165.2,170.7,174.9,155.3,170.2,167.6,156.9,156.3,159.1
170.2,175.7,179.9,160.2,175.1,172.5,161.7,161.1,163.8
174.7,180,184.4,164.9,180,177.2,166.4,166,168.4
179.2,184.5,188.8,169.6,184.5,181.9,171.2,170.5,173
183.9,188.4,193.1,174.4,188.8,186.1,175.8,175.1,177.3
188.1,192.8,195.7,178.9,192.9,190.4,180.3,179.7,181.7
191.9,196.7,200.2,183.4,196.9,194.3,184.6,183.6,186
195.7,200.2,205.2,187.7,200.9,198.1,188.7,187.8,190.2
200.2,204.1,207.4,192.1,204.6,201.7,192.6,191.8,194
204.2,207.5,210.7,196.4,208.3,205.4,196.5,195.6,198.1
207.5,211,214.8,200.6,211.8,208.8,200.4,199.4,202.1
211.3,214.5,217.3,204.9,215.6,212.4,204.2,203.2,206.2
