A555894,A555894,A555894
PTC13,PTC14,PTC15
Deg.F,Deg.F,Deg.F
67.1,66.3,66.3
67.1,66.3,66.3
67.1,66.3,66.3
67.1,66.2,66.4
67.3,66.8,67.1
67.8,68.3,68.6
68.5,69.7,70.8
69.5,71.5,72.8
70.7,73.1,75.5
72.3,75.2,77.8
74.3,77.9,80.6
74.4,77.5,80.6
76.6,80.6,84
79.2,83.6,87.6
81.8,87.3,91.9
85.2,91.2,96.3
88.3,95.1,100.9
92.3,99,105.3
96.1,103.6,110
100.3,107.7,114.9
104.5,112.9,119.4
108.9,117.2,125
113.5,121.9,129.9
118.3,126.8,135.5
122.9,132,140.7
128.3,137.3,146.6
130.1,139.6,148.6
133.3,141.8,150.2
137.6,146.5,155.4
142.4,151.3,159.7
147,155.4,163.8
151.1,159.5,167.7
155.8,163.8,171.6
160,167.9,175.4
164.1,171.8,179.3
168.3,175.6,182.8
172.3,179.8,186.3
176.2,183.2,189.9
179.9,186.8,193.5
183.8,190.3,196.7
187.2,193.5,199.7
191,197.2,202.6
194,200.1,205.5
197.2,203.1,208.9
200.4,206.4,211.6
203.7,209.4,214.7
206.6,212,217.3
209.6,215.1,219.8
212.6,217.6,222.5
215.4,220.4,224.8
218,222.7,227.2
220.7,225.3,229.2
223.2,227.8,231.6
225.8,230.4,233.9
228.1,232.4,236.1
230.7,235,238.2
233,237.1,240.4
235.2,239.2,242.4
237.4,241.4,244.1
239.7,243.5,246.2
241.6,245.3,247.8
243.4,246.7,249.3
245.2,248.3,250.3
246.9,249.7,251.6
248.3,251,252.8
249.8,252.2,253.8
250.9,253.1,254.9
252,254.1,255.5
252.9,254.6,256.2
253.1,255.1,256.4
253.7,255.1,255.8
254.5,255.9,256.8
255.2,256.7,257.3
255.9,257,257.9
256.5,257.5,258.5
257.1,258.2,258.8
257.7,258.7,259.1
258.3,259.2,259.6
258.8,259.6,259.8
259.2,259.9,260.1
259.7,260.4,260.7
260,260.7,260.8
260.5,261.1,261.2
260.8,261.2,261.2
261,261.3,261.6
261.4,261.7,261.8
261.7,261.7,261.9
261.9,262.2,262.2
262.1,262.4,262.5
262.4,262.4,262.1
262.6,262.5,262.4
262.8,262.7,262.7
262.9,262.8,262.7
263.1,262.9,262.9
263.2,263.2,263.3
263.4,263.3,263.1
263.4,263.4,263.2
263.6,263.4,263.3
263.2,263.4,263.3
263,263.7,263.2
263.4,263.5,263.5
263.3,263.6,263.7
263.2,263.6,263.3
263.7,263.5,263.2
263.7,263.7,263.5
263.6,263.7,263.7
263.9,264.2,263.9
263.7,263.9,263.4
263.9,264,263.9
263.7,263.6,263.5
263.6,263.8,263.7
263.8,264.1,263.8
263.8,263.9,263.7
263.7,263.6,263.7
263.8,263.8,263.9
263.8,263.9,263.6
263.9,263.9,263.7
264.1,264,263.8
264,264,263.9
264,264.2,263.5
263.9,263.9,263.7
263.2,262.9,261.9
263.2,262.7,262.2
262.7,262.3,261.7
262.5,262.4,261.5
262.4,261.9,261.5
262.4,261.6,260.9
262.2,261.2,260.8
261.9,261.2,260.6
261.7,261,260.3
261.3,261,260.5
261.3,260.7,260.2
260.9,260.5,260
260.7,260.3,260.1
260.7,260.5,259.9
260.7,260.1,259.8
260.5,260.3,259.8
260.3,260.2,259.8
260.3,260.1,259.4
260.1,259.8,259.4
260,259.9,259.6
260.1,260.2,259.7
260.3,259.8,259.6
260.3,259.9,259.6
260.3,259.8,259.6
260.2,259.8,259.7
259.8,259.8,259.1
259.7,259.4,259.2
259.6,259.5,259.2
259.3,259.7,259.1
259.2,259.3,259.2
259.4,259.3,259
259.2,259.5,259.3
259.3,259.3,259.1
259.1,259.1,259.1
259,259,259
259.2,259.5,259.3
259.1,259.2,259.1
259.2,259.4,258.8
259.2,259.2,258.9
259.1,259.3,258.9
259.1,259.2,259
258.9,258.8,258.1
258.5,258.1,257.5
258.1,257.4,256.5
257.6,256.7,255.1
256.9,255.7,254.6
256,254.5,252.8
255.1,253.4,251.8
254,252.2,250.4
252.7,250.8,248.8
252.1,249.3,247.3
251.6,248.8,246.4
250.6,248.1,245.6
249.1,246.3,243.6
247,244.5,241.8
245.9,242.6,239.6
244,240.7,237.3
242.1,238.5,235.2
240.2,236.6,233.1
238.4,234.7,231
236.3,232.3,228.7
234.2,230.1,226.4
232,228,224.2
229.8,225.3,221.5
227.5,223,219
225.2,220.6,216.8
222.8,218,213.7
220.5,215.6,211.2
217.9,212.9,208.3
215.3,210.2,205.2
212.7,207.1,202.8
210,204.6,200
207.3,201.7,197
204.6,199.1,194.4
202,196.5,191.8
199.4,193.9,189.2
196.8,191.2,186.5
194.2,188.7,184
191.7,186.3,181.6
189.2,183.7,179.1
186.7,181.1,176.6
184.2,178.7,174.2
181.8,176.3,171.9
179.6,174.1,169.7
176.3,171.7,167.4
174.4,169.4,165.1
172.2,167.2,162.9
163.5,165.1,161
170.3,163,159
166.1,161,157.1
164,159,155.2
162,157.1,153.5
158.9,155.1,151.4
157.6,153.4,149.8
156.2,151.7,148
154.5,149.9,146.4
0,148.2,144.7
0,146,142.9
125.9,144.7,141.4
92.9,143.2,139.8
145.6,141.5,138.2
143.9,139.9,136.8
245.2,138.9,135.9
142.7,138.4,135.3
140.9,136.5,133.4
0,134.8,131.7
138.7,133.4,130.2
0,132.2,129.2
0,131.7,128.7
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
